PHASE 3.1.15 ? UNIVERSAL QUEUE INFRASTRUCTURE SUBSYSTEM ADVERSARIAL REGRESSION
================================================================================================================

CERTIFICATION AUTHORITY AST SHA256: 6ED39655147D2B331E02101F5EA23E68CF71447353C0D294E170281AE40C0D4C
CERTIFICATION ID: phase_3_1_15_0ac829d7628d7088
169. bad_certification_id_'phase_3_1_14_x': PASS
170. bad_certification_id_'phase_3_1_15': PASS
171. bad_certification_id_'wrong': PASS
172. bad_certification_id_[]: PASS
173. bad_certification_id_{}: PASS
174. invalid_mutation_flag_None: PASS
175. invalid_mutation_flag_0: PASS
176. invalid_mutation_flag_1: PASS
177. invalid_mutation_flag_'false': PASS
178. invalid_mutation_flag_'true': PASS
179. invalid_mutation_flag_[]: PASS
180. invalid_mutation_flag_{}: PASS
181. mutation_true_rejected: PASS
182. certification_schema_guard: PASS
183. manifest_mapping_immutable: PASS
184. manifest_field_immutable_authority_ast_sha256: PASS
185. manifest_field_immutable_schema_version: PASS
186. certification_field_immutable_manifest: PASS
187. certification_field_immutable_certified: PASS
188. certification_field_immutable_certification_id: PASS
189. certification_field_immutable_mutation_required: PASS
190. certification_field_immutable_schema_version: PASS
191. manifest_keys_exact: PASS
192. manifest_phase_order_serialized: PASS
193. manifest_count_serialized: PASS
194. manifest_authorities_length: PASS
195. serialized_phase_3_1_1: PASS
196. serialized_name_3_1_1: PASS
197. serialized_file_3_1_1: PASS
198. serialized_ast_3_1_1: PASS
199. serialized_phase_3_1_2: PASS
200. serialized_name_3_1_2: PASS
201. serialized_file_3_1_2: PASS
202. serialized_ast_3_1_2: PASS
203. serialized_phase_3_1_3: PASS
204. serialized_name_3_1_3: PASS
205. serialized_file_3_1_3: PASS
206. serialized_ast_3_1_3: PASS
207. serialized_phase_3_1_4: PASS
208. serialized_name_3_1_4: PASS
209. serialized_file_3_1_4: PASS
210. serialized_ast_3_1_4: PASS
211. serialized_phase_3_1_5: PASS
212. serialized_name_3_1_5: PASS
213. serialized_file_3_1_5: PASS
214. serialized_ast_3_1_5: PASS
215. serialized_phase_3_1_6: PASS
216. serialized_name_3_1_6: PASS
217. serialized_file_3_1_6: PASS
218. serialized_ast_3_1_6: PASS
219. serialized_phase_3_1_7: PASS
220. serialized_name_3_1_7: PASS
221. serialized_file_3_1_7: PASS
222. serialized_ast_3_1_7: PASS
223. serialized_phase_3_1_8: PASS
224. serialized_name_3_1_8: PASS
225. serialized_file_3_1_8: PASS
226. serialized_ast_3_1_8: PASS
227. serialized_phase_3_1_9: PASS
228. serialized_name_3_1_9: PASS
229. serialized_file_3_1_9: PASS
230. serialized_ast_3_1_9: PASS
231. serialized_phase_3_1_10: PASS
232. serialized_name_3_1_10: PASS
233. serialized_file_3_1_10: PASS
234. serialized_ast_3_1_10: PASS
235. serialized_phase_3_1_11: PASS
236. serialized_name_3_1_11: PASS
237. serialized_file_3_1_11: PASS
238. serialized_ast_3_1_11: PASS
239. serialized_phase_3_1_12: PASS
240. serialized_name_3_1_12: PASS
241. serialized_file_3_1_12: PASS
242. serialized_ast_3_1_12: PASS
243. serialized_phase_3_1_13: PASS
244. serialized_name_3_1_13: PASS
245. serialized_file_3_1_13: PASS
246. serialized_ast_3_1_13: PASS
247. serialized_phase_3_1_14: PASS
248. serialized_name_3_1_14: PASS
249. serialized_file_3_1_14: PASS
250. serialized_ast_3_1_14: PASS
251. certification_keys_exact: PASS
252. certification_serialized_true: PASS
253. certification_serialized_id: PASS
254. certification_serialized_mutation_false: PASS
255. manifest_serialization_detached_order: PASS
256. manifest_serialization_detached_ast: PASS
257. manifest_deterministic: PASS
258. manifest_serialization_deterministic: PASS
259. certification_deterministic: PASS
260. explanation_phase: PASS
261. explanation_component: PASS
262. explanation_version: PASS
263. certified_range: PASS
264. authority_count_14: PASS
265. explanation_phase_order: PASS
266. exact_ast_rule: PASS
267. immutable_manifest_rule: PASS
268. not_mandatory_execution_chain: PASS
269. package_not_modified: PASS
270. workers_outside_boundary: PASS
271. physical_queue_outside_boundary: PASS
272. prohibition_does_not_modify_Queue_Creation: PASS
273. prohibition_does_not_modify_Queue_Scheduling: PASS
274. prohibition_does_not_modify_Queue_Prioritization: PASS
275. prohibition_does_not_modify_Queue_Routing: PASS
276. prohibition_does_not_modify_Queue_Balancing: PASS
277. prohibition_does_not_modify_Queue_Partitioning: PASS
278. prohibition_does_not_modify_Queue_Recovery: PASS
279. prohibition_does_not_modify_Dead_Letter_Queues: PASS
280. prohibition_does_not_modify_Queue_Cleanup: PASS
281. prohibition_does_not_modify_Queue_Backpressure: PASS
282. prohibition_does_not_modify_Queue_Capacity_Limits: PASS
283. prohibition_does_not_modify_Queue_Fairness: PASS
284. prohibition_does_not_modify_Queue_Rate_Limiting: PASS
285. prohibition_does_not_modify_Queue_Deduplication: PASS
286. prohibition_does_not_modify_universal_queue___init__.py: PASS
287. prohibition_does_not_enqueue_jobs: PASS
288. prohibition_does_not_dequeue_jobs: PASS
289. prohibition_does_not_claim_jobs: PASS
290. prohibition_does_not_lease_jobs: PASS
291. prohibition_does_not_dispatch_jobs: PASS
292. prohibition_does_not_requeue_jobs: PASS
293. prohibition_does_not_select_workers: PASS
294. prohibition_does_not_access_orchestration: PASS
295. prohibition_does_not_access_the_Job_Store: PASS
296. prohibition_does_not_access_Runtime_State_Store: PASS
297. prohibition_does_not_create_physical_queues: PASS
298. prohibition_does_not_perform_filesystem_I_O: PASS
299. prohibition_does_not_perform_network_I_O: PASS
300. no_backend_imports: PASS
   []
301. no_forbidden_calls: PASS
   []
302. no_owned_function_enqueue: PASS
   ()
303. no_owned_function_dequeue: PASS
   ()
304. no_owned_function_claim: PASS
   ()
305. no_owned_function_lease: PASS
   ()
306. no_owned_function_dispatch: PASS
   ()
307. no_owned_function_requeue: PASS
   ()
308. no_owned_function_worker: PASS
   ()
309. no_owned_function_schedule: PASS
   ()
310. no_owned_function_prioritize: PASS
   ()
311. no_owned_function_route_job: PASS
   ()
312. no_owned_function_balance_queue: PASS
   ()
313. no_owned_function_partition_job: PASS
   ()
314. no_owned_function_recover_job: PASS
   ()
315. no_owned_function_dead_letter_job: PASS
   ()
316. no_owned_function_cleanup_job: PASS
   ()
317. no_owned_function_backpressure_job: PASS
   ()
318. no_owned_function_capacity_job: PASS
   ()
319. no_owned_function_fairness_job: PASS
   ()
320. no_owned_function_rate_limit_job: PASS
   ()
321. no_owned_function_deduplicate_job: PASS
   ()
322. no_owned_function_persist: PASS
   ()
323. no_owned_function_save_job: PASS
   ()
324. no_owned_function_load_job: PASS
   ()
325. live_ast_3_1_1: PASS
   5ED908A9AFB9D102915EC1A2C8DA1D4B97D8A6CC2FDDCE3CB2EDF4E6159590BD
326. live_ast_3_1_2: PASS
   61563B1AA20A9C419A7B9BADC7AC9A7632835E2C8FC04AF42A9A86860B6CA0AC
327. live_ast_3_1_3: PASS
   C3C34C37CB6D30B5BCB22C07B2E26F825F97D7E76DEEDC6476954522B8211680
328. live_ast_3_1_4: PASS
   99AEEA931EC1DC4533CEE7A4E0BC07EA01FF120792A3BCC92C41CE9C253E6502
329. live_ast_3_1_5: PASS
   6811E385C802B743411534DBEE00BB65C51A59353A6491327EBFB230AB506CD5
330. live_ast_3_1_6: PASS
   E01247DECCAD5734B57CAE832D916727AE6D0F8AC02871E5F7CE631DE28B0575
331. live_ast_3_1_7: PASS
   D7AA19721DEFB1D40A24A22EBA04BDA776216520CFB31B9FAA1309242F1CF650
332. live_ast_3_1_8: PASS
   0628EBEF79EB8F2F7E0D9CF55D84B93FD5B66AAA36702D25699AF3E4DCC6D1B4
333. live_ast_3_1_9: PASS
   406EC0488C01742FAF8B551335157B315B04A4D4276D4A6E6CD121D4B7FF329F
334. live_ast_3_1_10: PASS
   AA8A1C29D832AF8BFA01703734D40CBB7C0D9F75D6DA67D407D398AE296BEE16
335. live_ast_3_1_11: PASS
   AFB3ADC980D432F329FD76E471EDB8DA571E2ED00708F37B04D888BFB178E8A5
336. live_ast_3_1_12: PASS
   905AB94AC692D343489CD6840A7AFDEE166A0BA6832366BCB9D4F9841BDEB0B1
337. live_ast_3_1_13: PASS
   879EF24F1FA0DC36D2F92619C64085913DC4F38A9E0CDF001B92FAE7DC32E598
338. live_ast_3_1_14: PASS
   F55FD3543558FEAC3C3D681C9CD8500F9EBE685CA349F298625C28C934962930
339. protected_job_contract: PASS
   82225461C792EDA7193D2FA3B59E39FF3823906365CD0FBCD5E2915673EE23D1
340. protected_job_status: PASS
   4636EF770005A6CCC84A37596622880C2244D4C12FFDEDAAC02078C20AA29EEE
341. protected_job_attempts: PASS
   2662BC9A968D3F37B9072FA9551A70681E5CE9BEB78E65DAF6550580893DEE24
342. protected_duplicate_detection: PASS
   C1BC7FE0BD8A1A78951946743A45FCA6CB24A8A11579205BE6056A5923E8CA5A
343. protected_duplicate_handling: PASS
   2A2172F349F5FCEDEED92C73761231EFBF4EA3A1C92421F4E85720B06F1C023A
344. protected_orchestration_queue: PASS
   76F8F7E66578E2B8A4A1FF3BB420B6340A7A1D1D661EB66B7C21987CF3845A97
345. protected_job_store: PASS
   50E89EC252AFB4DCB83A0F8E4E1F36C774FC2D7DFBD43D73A747AF1552E6AB26
346. protected_orchestration_service: PASS
   4C31CFC6FFDC9AFA8EA6AD8F43ADBC117F8A6D0193ABF045DBFBA39D6EB799BA
347. protected_submission: PASS
   241395823FBD888A71AB8A2EA16103AD6AB4C48A57D766A4314AC50E861D39A0
348. init_only_creation_surface: PASS
349. certification_not_runtime_composition: PASS

================================================================================================================
SUBSYSTEM REGRESSION RESULT: PASS
CHECKS PASSED: 349/349

QUEUE CREATION MODIFIED: NO
QUEUE SCHEDULING MODIFIED: NO
QUEUE PRIORITIZATION MODIFIED: NO
QUEUE ROUTING MODIFIED: NO
QUEUE BALANCING MODIFIED: NO
QUEUE PARTITIONING MODIFIED: NO
QUEUE RECOVERY MODIFIED: NO
DEAD LETTER QUEUES MODIFIED: NO
QUEUE CLEANUP MODIFIED: NO
QUEUE BACKPRESSURE MODIFIED: NO
QUEUE CAPACITY LIMITS MODIFIED: NO
QUEUE FAIRNESS MODIFIED: NO
QUEUE RATE LIMITING MODIFIED: NO
QUEUE DEDUPLICATION MODIFIED: NO
UNIVERSAL QUEUE __init__.py MODIFIED: NO
UNIVERSAL JOB AUTHORITIES MODIFIED: NO
ORCHESTRATION INTEGRATION MODIFIED: NO
MANDATORY EXECUTION CHAIN CREATED: NO
QUEUE ENQUEUED: NO
QUEUE DEQUEUED: NO
JOB CLAIMED: NO
JOB LEASED: NO
JOB DISPATCHED: NO
JOB REQUEUED: NO
WORKER SELECTED: NO
JOB STORE ACCESSED: NO
RUNTIME STATE STORE ACCESSED: NO
ORCHESTRATION ACCESSED: NO
PHYSICAL QUEUE CREATED: NO
FILESYSTEM / NETWORK I/O: NO

STATUS: SUBSYSTEM REGRESSION PASS ? FINAL CERTIFICATION REQUIRED
